# Data extracted from GeoNames database (http://www.geonames.org) by zyGrib (http://www.zygrib.org)
# Format: country;name;population;latitude;longitude
#
AR;Presidencia Roca;4987;-26.13333;-59.6
AR;Perugorría;5685;-29.33333;-58.61667
AR;Paso de la Patria;5818;-27.31667;-58.58333
AR;Panambí;5970;-27.71667;-54.91667
AR;Palo Santo;5324;-25.56667;-59.35
AR;Nuestra Señora del Rosario de Caa Catí;7573;-27.75;-57.61667
AR;Mocoretá;6088;-30.63333;-57.96667
AR;Mburucuyá;9012;-28.05;-58.23333
AR;Margarita Belén;5547;-27.26667;-58.96667
AR;Malabrigo;7026;-29.35;-59.98333
AR;Makallé;4994;-27.21667;-59.28333
AR;Maciá;5806;-32.16667;-59.38333
AR;Lucas González;4466;-32.4;-59.55
AR;Los Helechos;3616;-27.55;-55.08333
AR;Los Charrúas;3414;-31.16667;-58.18333
AR;Las Garcitas;4244;-26.58333;-59.8
AR;Larroque;6200;-33.03333;-59.01667
AR;La Escondida;3948;-27.11667;-59.45
AR;La Eduvigis;3816;-26.83333;-59.08333
AR;La Cruz;8591;-29.16667;-56.63333
AR;Itatí;7902;-27.26667;-58.25
AR;Itá Ibaté;4115;-27.43333;-57.33333
AR;Ibarreta;8687;-25.21667;-59.85
AR;Hasenkamp;4413;-31.51667;-59.85
AR;Guaraní;4530;-27.51667;-55.16667
AR;Gobernador Roca;6315;-27.18333;-55.46667
AR;Gobernador Juan E. Martínez;3529;-28.91667;-58.93333
AR;General Vedia;3513;-26.93333;-58.66667
AR;General Galarza;4150;-32.71667;-59.4
AR;Garuhapé;8259;-26.8;-54.96667
AR;El Alcázar;5127;-26.73333;-54.78333
AR;Dos Arroyos;3079;-27.7;-55.25
AR;Concepción de la Sierra;7398;-27.98333;-55.51667
AR;Concepción;4800;-28.38333;-57.88333
AR;Comandante Fontana;5655;-25.33333;-59.68333
AR;Colonias Unidas;4093;-26.7;-59.63333
AR;Colonia Elisa;4570;-26.93333;-59.53333
AR;Colonia Benítez;3584;-27.33333;-58.93333
AR;Colonia Aurora;8407;-27.46667;-54.48333
AR;Cerro Azul;5323;-27.63333;-55.48333
AR;Caraguatay;3287;-26.61667;-54.76667
AR;Capioví;5860;-26.93333;-55.06667
AR;Campo Viera;9228;-27.38333;-55.03333
AR;Bovril;7977;-31.35;-59.43333
AR;Basail;3652;-27.86667;-59.3
AR;Azara;3484;-28.06667;-55.68333
AR;Alvear;7917;-29.1;-56.55
AR;Alba Posse;6652;-27.55;-54.7
AR;Zonda;4038;-31.55;-68.73333
AR;Yuto;7732;-23.63333;-64.46667
AR;Yacimiento Río Turbio;6650;-51.53333;-72.3
AR;Villa Ojo de Agua;5832;-29.51667;-63.7
AR;Villa La Angostura;7526;-40.78333;-71.66667
AR;Villa Huidobro;5155;-34.83333;-64.58333
AR;Villa Giardino;4679;-31.03333;-64.48333
AR;Villa General Mitre;3605;-29.15;-62.65
AR;Villa General Belgrano;5888;-31.98333;-64.56667
AR;Villa de Soto;7303;-30.85;-64.98333
AR;Villa del Totoral;7110;-30.81667;-63.71667
AR;Villa Cura Brochero;4707;-31.68333;-65.01667
AR;Villa Cañás;9328;-34;-61.6
AR;Vicuña Mackenna;8994;-33.9;-64.38333
AR;Victorica;6565;-36.21667;-65.45
AR;Viale;8939;-31.88333;-60.01667
AR;Veintiocho de Noviembre;4686;-51.65;-72.3
AR;Veinticinco de Mayo;6962;-37.8;-67.68333
AR;Valle Hermoso;5486;-31.11667;-64.48333
AR;Valcheta;3596;-40.7;-66.15
AR;Ucacha;4747;-33.03333;-63.51667
AR;Trevelín;6395;-43.06667;-71.46667
AR;Trenel;3426;-35.7;-64.13333
AR;Trancas;6658;-26.21667;-65.28333
AR;Totoras;9587;-32.58333;-61.18333
AR;Toledo;3046;-31.56667;-64.01667
AR;Tintina;3868;-27.03333;-62.71667
AR;Tilisarao;5478;-32.73333;-65.3
AR;Tilcara;5640;-23.56667;-65.36667
AR;Tancacha;5184;-32.25;-63.98333
AR;Tafí del Valle;4028;-26.86667;-65.68333
AR;Taco Pozo;8470;-25.61667;-63.28333
AR;Suncho Corral;6087;-27.93333;-63.45
AR;Sumampa;4812;-29.36667;-63.46667
AR;Simoca;7939;-27.26667;-65.35
AR;Sierra Grande;6978;-41.6;-65.36667
AR;Senillosa;6394;-39;-68.41667
AR;Seguí;3646;-31.95;-60.13333
AR;Sastre;5521;-31.75;-61.83333
AR;Sarmiento;8292;-45.6;-69.08333
AR;Santa Sylvina;9040;-27.81667;-61.15
AR;Santa Rosa de Río Primero;6788;-31.15;-63.38333
AR;Santa Rosa del Conlara;4489;-32.33333;-65.2
AR;Santa Rosa de Calamuchita;9504;-32.06667;-64.55
AR;Santa Magdalena;4059;-34.5;-63.93333
AR;Santa Clara;4883;-24.28333;-64.68333
AR;San José de la Dormida;3272;-30.35;-63.93333
AR;San Francisco del Monte de Oro;3295;-32.6;-66.13333
AR;San Benito;6771;-31.78333;-60.43333
AR;San Antonio de los Cobres;4000;-24.18333;-66.35
AR;San Antonio;4290;-28.03333;-65.68333
AR;San Agustín de Valle Fértil;6864;-30.63333;-67.45
AR;Sampacho;7238;-33.38333;-64.71667
AR;Salsipuedes;6411;-31.15;-64.31667
AR;Realicó;7151;-35.03333;-64.25
AR;Rancul;3699;-35.05;-64.7
AR;Rada Tilly;6208;-45.93333;-67.53333
AR;Quilino;4534;-30.2;-64.48333
AR;Quemú Quemú;3851;-36.05;-63.55
AR;Puerto Santa Cruz;3397;-50.01667;-68.51667
AR;San Julián;6143;-49.3;-67.71667
AR;Pozo del Tigre;3948;-24.9;-60.31667
AR;Pozo del Molle;5429;-32.03333;-62.91667
AR;Porteña;4624;-31.01667;-62.06667
AR;Pomán;3387;-28.4;-66.21667
AR;Piedra del Águila;3372;-40.05;-70.08333
AR;Picún Leufú;3222;-39.51667;-69.25
AR;Pampa de los Guanacos;4393;-26.23333;-61.85
AR;Pampa del Infierno;8176;-26.51667;-61.16667
AR;Palma Sola;5318;-23.98333;-64.3
AR;Nueve de Julio;7652;-31.65;-68.4
AR;Noetinger;4508;-32.36667;-62.31667
AR;Naschel;3157;-32.91656;-65.37535
AR;Napenay;3056;-26.73333;-60.61667
AR;Morrison;3245;-32.6;-62.83333
AR;Monte Maíz;6920;-33.2;-62.6
AR;Monte Cristo;6914;-31.35;-63.95
AR;Monte Buey;5497;-32.91667;-62.45
AR;Mina Clavero;6855;-31.71667;-65
AR;Mendiolaza;4204;-31.26667;-64.3
AR;Malvinas Argentinas;8628;-31.38333;-64.06667
AR;Malagueño;9364;-31.46667;-64.36667
AR;Macachín;4768;-37.15;-63.65
AR;Los Juríes;3212;-28.46667;-62.1
AR;Los Frentones;6610;-26.41667;-61.41667
AR;Los Altos;6421;-28.05;-65.46667
AR;Loncopué;4323;-38.06667;-70.61667
AR;Leones;9971;-32.65;-62.3
AR;La Toma;6663;-33.05;-65.61667
AR;La Tigra;4505;-27.1;-60.56667
AR;Las Perdices;4615;-32.68333;-63.68333
AR;Las Lajitas;9151;-24.68333;-64.25
AR;Las Lajas;4673;-38.51667;-70.36667
AR;Las Higueras;5282;-33.1;-64.28333
AR;Las Heras;9303;-46.55;-68.95
AR;La Para;3021;-30.86667;-62.98333
AR;La Mendieta;3812;-24.31667;-64.96667
